city,year,location,severity_index
LA,2012,Harbor,26251.76559185405
LA,2012,Topanga,15473.924067644753
LA,2012,Hollywood,20348.32529216254
LA,2012,Pacific,14243.46713205352
LA,2012,77th Street,40975.75244755245
LA,2012,Olympic,25934.134177809054
LA,2012,Rampart,30286.733627496516
LA,2012,N Hollywood,18228.644281031276
LA,2012,Newton,40063.24139482564
LA,2012,Foothill,27253.367069486405
LA,2012,Devonshire,14589.670835099618
LA,2012,West Valley,19615.170726306467
LA,2012,Van Nuys,17192.19784545266
LA,2012,Central,28726.59504950495
LA,2012,Northeast,23417.819786910197
LA,2012,Southwest,29408.620673883215
LA,2012,West LA,12371.705998835178
LA,2012,Mission,25990.340634441087
LA,2012,Wilshire,18887.433047370385
LA,2012,Hollenbeck,34955.107026721336
LA,2012,Southeast,39638.99452623632
LA,2013,77th Street,37755.05252437072
LA,2013,Southwest,30094.970992846473
LA,2013,Devonshire,13968.175054704596
LA,2013,Hollywood,21275.047262517546
LA,2013,Harbor,24211.703905971743
LA,2013,Central,27914.871970495256
LA,2013,Foothill,25672.757709251102
LA,2013,N Hollywood,17666.56795983569
LA,2013,Olympic,23597.314520019296
LA,2013,West LA,13630.26085892573
LA,2013,Hollenbeck,33064.86685552408
LA,2013,Wilshire,18322.66454000255
LA,2013,Newton,34060.587853500234
LA,2013,Pacific,17286.50643182268
LA,2013,Van Nuys,16337.986999147484
LA,2013,Mission,22974.602721088435
LA,2013,Rampart,31648.05649717514
LA,2013,Northeast,21099.695839620606
LA,2013,Southeast,36689.6607107795
LA,2013,Topanga,16516.073007146784
LA,2013,West Valley,20396.602710413696
LA,2014,Harbor,24057.647994217565
LA,2014,Topanga,18455.777575412634
LA,2014,Foothill,28095.802265417424
LA,2014,Southeast,39091.554019505726
LA,2014,Devonshire,15814.897699687897
LA,2014,West Valley,21690.41381048387
LA,2014,Hollenbeck,33964.64023154848
LA,2014,77th Street,41027.79964450764
LA,2014,Rampart,33723.32265232137
LA,2014,Central,30622.51487741014
LA,2014,West LA,12609.139367289605
LA,2014,Mission,25450.251908396946
LA,2014,N Hollywood,20011.76911976912
LA,2014,Southwest,33180.65789473684
LA,2014,Wilshire,20155.066246056784
LA,2014,Newton,39408.07419459811
LA,2014,Northeast,24537.0052626148
LA,2014,Van Nuys,20267.918656243397
LA,2014,Pacific,17258.712904425436
LA,2014,Olympic,27223.65358977161
LA,2014,Hollywood,22307.348419456433
LA,2015,77th Street,43457.742428376536
LA,2015,Northeast,25111.49590802806
LA,2015,Olympic,25781.142102590147
LA,2015,Topanga,18983.389242103138
LA,2015,Devonshire,17864.122019077902
LA,2015,Harbor,25526.457310677575
LA,2015,Rampart,36154.1472392638
LA,2015,N Hollywood,20978.44081287045
LA,2015,Mission,25280.95357142857
LA,2015,Central,36338.07326007326
LA,2015,Pacific,18786.283253751706
LA,2015,Van Nuys,22218.265890437106
LA,2015,Southeast,38636.33873290137
LA,2015,Southwest,32124.4062679701
LA,2015,Hollenbeck,32871.000623208274
LA,2015,Newton,43988.48302277433
LA,2015,West Valley,18034.921152301158
LA,2015,Foothill,25692.690091719414
LA,2015,Wilshire,20099.064994026285
LA,2015,Hollywood,25894.461962626367
LA,2015,West LA,13594.287242798355
LA,2016,West Valley,18570.96682856257
LA,2016,Hollywood,21945.220370893345
LA,2016,77th Street,45259.06175879722
LA,2016,West LA,14015.951894423159
LA,2016,Devonshire,17262.47664092664
LA,2016,Van Nuys,20709.715510670732
LA,2016,Newton,40863.72826775215
LA,2016,Harbor,29713.283857442348
LA,2016,Mission,25475.02857142857
LA,2016,Rampart,35464.558670143415
LA,2016,Olympic,25456.84575422688
LA,2016,N Hollywood,19482.88320079523
LA,2016,Hollenbeck,37922.11781328116
LA,2016,Topanga,18299.072440087148
LA,2016,Foothill,28010.792362768498
LA,2016,Pacific,19680.25678886626
LA,2016,Northeast,25646.24773994999
LA,2016,Southeast,44145.3938341294
LA,2016,Central,33811.85532925381
LA,2016,Southwest,34633.665868432174
LA,2016,Wilshire,20691.858243451465
LA,2017,Central,37371.214650909395
LA,2017,West Valley,21063.819000819
LA,2017,Van Nuys,19967.468590988992
LA,2017,Southeast,45176.86759376317
LA,2017,Hollywood,23931.513762279847
LA,2017,Topanga,17179.050092421443
LA,2017,Rampart,34532.05331397158
LA,2017,77th Street,45405.1743414697
LA,2017,Mission,28034.74449866495
LA,2017,Newton,41082.51955117307
LA,2017,Hollenbeck,34545.99955874241
LA,2017,Harbor,30170.567564777535
LA,2017,N Hollywood,19247.569530558016
LA,2017,Olympic,24977.388315534416
LA,2017,Northeast,24017.058745373444
LA,2017,Wilshire,21520.94504604797
LA,2017,West LA,14199.975439761036
LA,2017,Foothill,26152.297778862583
LA,2017,Southwest,35919.30074136243
LA,2017,Pacific,19276.63250269062
LA,2017,Devonshire,15703.81641064069
LA,2018,Devonshire,20480.36204013378
LA,2018,Newton,38842.931803579624
LA,2018,Mission,31163.207001671748
LA,2018,Southeast,43939.65870364183
LA,2018,Northeast,23810.747380675202
LA,2018,Foothill,25448.863849765257
LA,2018,Rampart,33638.07842731506
LA,2018,Hollywood,24780.419301164726
LA,2018,West Valley,20145.826041117554
LA,2018,Central,32933.38638600742
LA,2018,West LA,14863.482611711086
LA,2018,Topanga,20312.77909065129
LA,2018,N Hollywood,22189.776376907765
LA,2018,Pacific,18896.657201477225
LA,2018,Southwest,35950.8010853684
LA,2018,Hollenbeck,35391.4504024487
LA,2018,Wilshire,22085.07303004931
LA,2018,77th Street,44658.97301269205
LA,2018,Harbor,33630.261356155366
LA,2018,Olympic,26016.94007626657
LA,2018,Van Nuys,21301.931746486953
LA,2019,Newton,40893.83927740013
LA,2019,Southwest,34728.434698866586
LA,2019,Southeast,48486.031543052006
LA,2019,West Valley,24179.480294998848
LA,2019,Devonshire,20311.998665777184
LA,2019,West LA,15471.914304263146
LA,2019,Hollenbeck,35152.16365593971
LA,2019,Mission,29626.930461403892
LA,2019,Rampart,36561.47159508558
LA,2019,Harbor,37944.39287356322
LA,2019,Foothill,30290.394329220268
LA,2019,Van Nuys,21045.268929503916
LA,2019,N Hollywood,21905.705024311184
LA,2019,Topanga,18850.998654940508
LA,2019,Olympic,27223.418970401486
LA,2019,77th Street,48646.67009220806
LA,2019,Hollywood,26313.279648871372
LA,2019,Central,31865.492416433513
LA,2019,Wilshire,20821.771302597528
LA,2019,Pacific,20184.232220135542
LA,2019,Northeast,23580.79904603899
LA,2020,Rampart,39019.73471433345
LA,2020,Topanga,22365.977142857144
LA,2020,Central,39970.75110303659
LA,2020,Devonshire,20246.068617558023
LA,2020,Mission,31087.608870967742
LA,2020,Newton,43706.17674886764
LA,2020,Harbor,34439.12051601222
LA,2020,West Valley,27664.93656716418
LA,2020,Southwest,40753.22393162393
LA,2020,77th Street,60044.81311376341
LA,2020,Foothill,30679.176470588234
LA,2020,Olympic,30836.008342022942
LA,2020,Van Nuys,23198.179857765543
LA,2020,Northeast,26180.642679016742
LA,2020,Hollywood,34298.27944230199
LA,2020,Pacific,23219.110456043003
LA,2020,Wilshire,27924.535640886967
LA,2020,West LA,14358.624662854676
LA,2020,Southeast,56906.326716141004
LA,2020,N Hollywood,24506.972908839234
LA,2020,Hollenbeck,37032.023387304034
LA,2021,Devonshire,22703.076503380384
LA,2021,Southeast,58285.23414916169
LA,2021,Foothill,32420.12146327522
LA,2021,West LA,16000.76794962933
LA,2021,Northeast,30341.33082302313
LA,2021,Topanga,25352.000469980027
LA,2021,Van Nuys,23582.736074116965
LA,2021,West Valley,28988.24133050248
LA,2021,Rampart,40183.059423833314
LA,2021,Olympic,31677.191287349902
LA,2021,Mission,30623.07611355849
LA,2021,Hollywood,34013.44927295388
LA,2021,Central,37245.89535504538
LA,2021,Newton,46959.28383039156
LA,2021,Wilshire,29018.068188862486
LA,2021,Harbor,38177.725779036824
LA,2021,N Hollywood,23906.755043758636
LA,2021,Southwest,45348.19285399206
LA,2021,Pacific,22580.302770859278
LA,2021,77th Street,57621.850372532455
LA,2021,Hollenbeck,43465.246870305455
LA,2022,West Valley,27621.733789173788
LA,2022,Harbor,39602.281757522345
LA,2022,Olympic,36933.35229581471
LA,2022,Hollenbeck,40478.215670436184
LA,2022,Pacific,23291.508636875704
LA,2022,Southwest,38626.90929489946
LA,2022,Van Nuys,24240.983391926293
LA,2022,N Hollywood,23893.98196143479
LA,2022,Central,34041.86941986234
LA,2022,Foothill,30675.133451957296
LA,2022,Topanga,26417.376960118534
LA,2022,West LA,15206.244476841986
LA,2022,Mission,28450.987214840814
LA,2022,Newton,40636.06624785837
LA,2022,Southeast,53268.52145733085
LA,2022,Northeast,27836.417707150966
LA,2022,Wilshire,23155.498732572876
LA,2022,Rampart,38633.63182143954
LA,2022,77th Street,53868.07666166127
LA,2022,Hollywood,31613.092453682784
LA,2022,Devonshire,24352.90899795501
