"LA,6,54.70201056843069"
"LA,11,69.50319135735792"
"LA,12,49.21049899135239"
"LA,14,65.59156095161464"
"LA,20,67.82110704447287"
"LA,5,53.573137626835425"
"LA,16,66.72440845059114"
"LA,18,61.0025349958623"
"LA,4,58.60101548145318"
"LA,13,68.74720136263441"
"LA,0,70.03756548913533"
"LA,9,61.11226609193024"
"LA,19,67.6544700687204"
"LA,21,74.92083244007055"
"LA,23,76.60447962795658"
"LA,3,63.067633107035206"
"LA,1,79.42984060014007"
"LA,8,54.5599730662659"
"LA,22,73.58037664497338"
"LA,2,76.11302597543022"
"LA,7,58.490775178523414"
"LA,10,61.78702512433823"
"LA,15,64.24632148140368"
"LA,17,60.946386030089286"
