city,time_bucket,location,crime_index
NYC,0,STATEN ISLAND,9415.341603630863
NYC,3,MANHATTAN,8253.82223585967
NYC,4,BRONX,8394.242613263295
NYC,5,BRONX,6650.454154111063
NYC,6,BROOKLYN,14185.128586294039
NYC,6,STATEN ISLAND,14142.382929642445
NYC,8,BROOKLYN,3383.6572100928224
NYC,10,STATEN ISLAND,3701.2156726768376
NYC,11,QUEENS,6536.600717222076
NYC,12,BROOKLYN,5135.790026246719
NYC,12,MANHATTAN,4091.8808025177027
NYC,12,STATEN ISLAND,3566.5136714185555
NYC,14,BROOKLYN,7217.791201237326
NYC,16,BROOKLYN,7248.346212327966
NYC,19,MANHATTAN,7087.576534536691
NYC,21,BRONX,17766.92800551154
NYC,22,MANHATTAN,10322.129349046016
NYC,23,BRONX,18785.17927287923
NYC,2,BROOKLYN,10434.010430659819
NYC,2,STATEN ISLAND,6466.0252469813395
NYC,3,BRONX,13164.657526501767
NYC,5,QUEENS,7980.110815939279
NYC,6,QUEENS,12601.057228315054
NYC,7,MANHATTAN,4649.46978297162
NYC,15,MANHATTAN,5656.707536153777
NYC,16,BRONX,13033.673386882281
NYC,17,BRONX,13287.327601955833
NYC,18,STATEN ISLAND,4793.208495208495
NYC,22,BRONX,17970.259395725865
NYC,22,QUEENS,11642.567659990229
NYC,22,STATEN ISLAND,9639.93709266081
NYC,23,MANHATTAN,10538.322942106019
NYC,0,BRONX,16871.43974495218
NYC,0,BROOKLYN,11248.510339577959
NYC,3,QUEENS,8754.98758309294
NYC,9,MANHATTAN,3955.1996230563846
NYC,10,MANHATTAN,3201.4425830033506
NYC,10,QUEENS,4699.291619202604
NYC,14,QUEENS,10025.41911081619
NYC,16,STATEN ISLAND,8175.46605175506
NYC,17,QUEENS,9691.583384090633
NYC,23,STATEN ISLAND,12197.427209154483
NYC,0,MANHATTAN,9728.0225477707
NYC,1,STATEN ISLAND,10726.393777777777
NYC,2,QUEENS,10719.724562976244
NYC,3,BROOKLYN,7745.7056952876555
NYC,4,BROOKLYN,5950.999774622493
NYC,5,BROOKLYN,4183.834881949733
NYC,5,STATEN ISLAND,5868.875444839858
NYC,7,BRONX,4732.609748620478
NYC,7,QUEENS,4885.1612903225805
NYC,9,BROOKLYN,3310.658945590542
NYC,9,QUEENS,4289.894159583219
NYC,9,STATEN ISLAND,3877.4769956744003
NYC,10,BRONX,5090.39176842285
NYC,11,STATEN ISLAND,5360.38437391001
NYC,12,BRONX,6997.85889263842
NYC,12,QUEENS,5784.195554504611
NYC,13,BRONX,9710.111133293405
NYC,13,QUEENS,9268.126517379174
NYC,13,STATEN ISLAND,5957.980042334442
NYC,17,STATEN ISLAND,7181.362935389524
NYC,18,BROOKLYN,7575.318901107322
NYC,20,BRONX,15324.065017291832
NYC,20,BROOKLYN,11117.290533271862
NYC,21,BROOKLYN,12649.905675130663
NYC,21,QUEENS,9388.873941737218
NYC,23,BROOKLYN,13114.843019372078
NYC,23,QUEENS,11160.67688905271
NYC,1,BROOKLYN,12518.513905455458
NYC,1,MANHATTAN,11579.894040765521
NYC,4,MANHATTAN,7736.988128748011
NYC,4,QUEENS,7711.864622288706
NYC,4,STATEN ISLAND,6934.098181818182
NYC,5,MANHATTAN,7725.977296615514
NYC,7,BROOKLYN,4953.543441585829
NYC,7,STATEN ISLAND,2667.1840731070497
NYC,8,QUEENS,4008.660188570329
NYC,9,BRONX,5150.738062631242
NYC,11,BROOKLYN,5468.9562076749435
NYC,13,BROOKLYN,7379.26645404465
NYC,15,BROOKLYN,6765.6170776982235
NYC,15,QUEENS,8588.826640205463
NYC,16,QUEENS,9907.910343160947
NYC,18,QUEENS,8602.659187529523
NYC,19,BROOKLYN,9312.996883506252
NYC,20,QUEENS,8699.014433752776
NYC,20,STATEN ISLAND,7228.878338278932
NYC,1,QUEENS,11576.238846678356
NYC,3,STATEN ISLAND,6739.868115942029
NYC,6,BRONX,12234.290946930281
NYC,6,MANHATTAN,10174.690144289558
NYC,8,MANHATTAN,2891.495093836334
NYC,8,STATEN ISLAND,2938.6889714993804
NYC,11,BRONX,7013.337442218798
NYC,14,BRONX,9492.353793640337
NYC,14,MANHATTAN,6313.188161309643
NYC,14,STATEN ISLAND,5492.584939604215
NYC,15,BRONX,10636.581112073798
NYC,15,STATEN ISLAND,5984.303992303992
NYC,17,BROOKLYN,6882.957384797164
NYC,17,MANHATTAN,6587.41565934066
NYC,18,BRONX,12801.242123070417
NYC,19,BRONX,14461.730928509154
NYC,21,STATEN ISLAND,8217.813900057437
NYC,0,QUEENS,11164.777298749028
NYC,1,BRONX,19383.580373831777
NYC,2,BRONX,16819.18603572257
NYC,2,MANHATTAN,10295.375822222222
NYC,8,BRONX,4537.333000598922
NYC,10,BROOKLYN,3660.0834248079036
NYC,11,MANHATTAN,4076.4979133688303
NYC,13,MANHATTAN,6514.761972916437
NYC,16,MANHATTAN,6814.859384318943
NYC,18,MANHATTAN,6267.29525483304
NYC,19,QUEENS,8894.838012162909
NYC,19,STATEN ISLAND,7473.741311732428
NYC,20,MANHATTAN,8239.68156086837
NYC,21,MANHATTAN,9896.497764530552
NYC,22,BROOKLYN,13206.826873610324
